0;0;0;0|23;50;330;330?
0;0;10;0|19;47;329;329?
0;0;20;0|16;43;333;324?
0;0;30;0|18;46;332;320?
0;0;40;0|19;47;330;323?
0;0;50;0|17;48;325;320?
0;1;0;0|14;53;321;319?
0;1;10;0|17;58;320;315?
0;1;20;0|14;53;315;311?
0;1;30;0|9;53;313;315?
0;1;40;0|9;53;313;316?
0;1;50;0|7;56;312;311?
0;2;0;0|2;51;310;315?
0;2;10;0|1;46;314;315?
0;2;20;0|-3;48;314;320?
0;2;30;0|-4;43;313;325?
0;2;40;0|-2;40;318;324?
0;2;50;0|-3;36;316;323?
0;3;0;0|-5;39;317;323?
0;3;10;0|-10;37;316;318?
0;3;20;0|-8;38;317;323?
0;3;30;0|-11;41;319;327?
0;3;40;0|-14;39;318;328?
0;3;50;0|-10;38;321;331?
0;4;0;0|-9;33;321;328?
0;4;10;0|-8;36;319;325?
0;4;20;0|-10;35;323;320?
0;4;30;0|-8;33;324;316?
0;4;40;0|-6;28;328;321?
0;4;50;0|-8;23;331;324?
0;5;0;0|-10;18;330;320?
0;5;10;0|-6;16;334;323?
0;5;20;0|-8;21;331;325?
0;5;30;0|-6;26;336;323?
0;5;40;0|-7;21;341;322?
0;5;50;0|-10;23;346;326?
0;6;0;0|-13;24;345;326?
0;6;10;0|-12;28;347;324?
0;6;20;0|-14;33;347;319?
0;6;30;0|-11;38;344;317?
0;6;40;0|-6;40;349;316?
0;6;50;0|-2;45;348;320?
0;7;0;0|2;50;346;321?
0;7;10;0|7;45;345;320?
0;7;20;0|8;45;341;321?
0;7;30;0|12;46;337;322?
0;7;40;0|10;47;342;319?
0;7;50;0|9;43;342;315?
0;8;0;0|4;38;346;310?
0;8;10;0|7;38;349;306?
0;8;20;0|9;43;353;304?
0;8;30;0|12;38;348;299?
0;8;40;0|14;35;344;304?
0;8;50;0|16;37;346;299?
0;9;0;0|14;37;344;300?
0;9;10;0|9;38;349;303?
0;9;20;0|4;38;345;304?
0;9;30;0|8;37;344;308?
0;9;40;0|5;37;349;305?
0;9;50;0|7;41;353;308?
0;10;0;0|8;37;355;304?
0;10;10;0|7;37;352;299?
0;10;20;0|4;34;348;300?
0;10;30;0|3;32;353;301?
0;10;40;0|0;36;356;301?
0;10;50;0|-2;39;361;301?
0;11;0;0|3;34;365;302?
0;11;10;0|-2;34;368;305?
0;11;20;0|-3;32;367;310?
0;11;30;0|-3;35;366;306?
0;11;40;0|0;34;363;302?
0;11;50;0|0;34;362;301?
0;12;0;0|-2;36;358;297?
0;12;10;0|-4;36;362;301?
0;12;20;0|0;38;365;301?
0;12;30;0|-4;35;369;301?
0;12;40;0|-5;35;364;303?
0;12;50;0|-7;37;368;306?
0;13;0;0|-5;40;363;309?
0;13;10;0|0;36;364;309?
0;13;20;0|4;35;369;311?
0;13;30;0|9;30;364;310?
0;13;40;0|7;33;368;315?
0;13;50;0|10;30;366;319?
0;14;0;0|11;30;365;322?
0;14;10;0|16;26;362;320?
0;14;20;0|16;29;357;320?
0;14;30;0|16;26;353;315?
0;14;40;0|11;27;348;311?
0;14;50;0|14;24;347;309?
0;15;0;0|18;26;348;312?
0;15;10;0|17;28;353;315?
0;15;20;0|19;33;350;313?
0;15;30;0|16;28;347;308?
0;15;40;0|20;27;344;303?
0;15;50;0|25;31;341;303?
0;16;0;0|29;31;342;306?
0;16;10;0|27;31;347;307?
0;16;20;0|28;31;348;312?
0;16;30;0|26;30;351;313?
